,class
3292,b'0'
3619,b'0'
5222,b'0'
775,b'0'
4644,b'0'
803,b'0'
2933,b'0'
2735,b'0'
2002,b'0'
2204,b'0'
3580,b'0'
2256,b'0'
2579,b'0'
1971,b'0'
3586,b'0'
1816,b'0'
0,b'0'
1231,b'0'
4296,b'0'
4526,b'0'
4681,b'0'
5170,b'0'
1028,b'0'
2009,b'0'
2677,b'0'
2247,b'0'
3466,b'0'
896,b'0'
328,b'0'
4224,b'0'
2804,b'0'
1756,b'0'
743,b'0'
1654,b'0'
5674,b'1'
5652,b'1'
1778,b'0'
2899,b'0'
644,b'0'
3485,b'0'
3365,b'0'
3511,b'0'
4515,b'0'
1380,b'0'
2301,b'0'
2419,b'0'
2907,b'0'
5369,b'0'
1452,b'0'
4410,b'0'
333,b'0'
2277,b'0'
5059,b'0'
2576,b'0'
2128,b'0'
732,b'0'
4530,b'0'
2122,b'0'
2871,b'0'
4725,b'0'
428,b'0'
5349,b'0'
1789,b'0'
4440,b'0'
3514,b'0'
1233,b'0'
2100,b'0'
1399,b'0'
791,b'0'
1225,b'0'
2840,b'0'
5600,b'1'
3659,b'0'
1896,b'0'
3409,b'0'
2824,b'0'
4456,b'0'
3996,b'0'
364,b'0'
5139,b'0'
951,b'0'
411,b'0'
3489,b'0'
650,b'0'
114,b'0'
2849,b'0'
1815,b'0'
2134,b'0'
1879,b'0'
3430,b'0'
3644,b'0'
5776,b'1'
747,b'0'
3548,b'0'
969,b'0'
4080,b'0'
4044,b'0'
1489,b'0'
1476,b'0'
1694,b'0'
1215,b'0'
4303,b'0'
4178,b'0'
473,b'0'
5488,b'0'
2894,b'0'
3558,b'0'
3060,b'0'
3600,b'0'
1762,b'0'
1034,b'0'
2062,b'0'
2308,b'0'
4527,b'0'
5346,b'0'
1371,b'0'
1148,b'0'
4945,b'0'
4377,b'0'
5010,b'0'
5684,b'1'
1512,b'0'
4419,b'0'
1246,b'0'
1539,b'0'
3008,b'0'
2142,b'0'
5450,b'0'
1941,b'0'
3410,b'0'
1227,b'0'
170,b'0'
5457,b'0'
1506,b'0'
70,b'0'
5180,b'0'
398,b'0'
1959,b'0'
5225,b'0'
1569,b'0'
1700,b'0'
3442,b'0'
5607,b'1'
1716,b'0'
4523,b'0'
4083,b'0'
5509,b'1'
1932,b'0'
4580,b'0'
4145,b'0'
2891,b'0'
664,b'0'
5619,b'1'
4091,b'0'
1098,b'0'
4828,b'0'
2110,b'0'
3802,b'0'
4012,b'0'
5413,b'0'
449,b'0'
3308,b'0'
5386,b'0'
3543,b'0'
4695,b'0'
4175,b'0'
1996,b'0'
3710,b'0'
4735,b'0'
272,b'0'
5270,b'0'
3829,b'0'
3258,b'0'
3797,b'0'
801,b'0'
4760,b'0'
4241,b'0'
5877,b'1'
4357,b'0'
2974,b'0'
618,b'0'
5655,b'1'
231,b'0'
3421,b'0'
3170,b'0'
1438,b'0'
2521,b'0'
5868,b'1'
486,b'0'
5584,b'1'
1631,b'0'
630,b'0'
3083,b'0'
1178,b'0'
2074,b'0'
3727,b'0'
1133,b'0'
4784,b'0'
1612,b'0'
202,b'0'
2457,b'0'
5343,b'0'
117,b'0'
1451,b'0'
4332,b'0'
587,b'0'
4019,b'0'
2595,b'0'
5874,b'1'
1105,b'0'
322,b'0'
680,b'0'
1255,b'0'
905,b'0'
2782,b'0'
2023,b'0'
1297,b'0'
4020,b'0'
2986,b'0'
2666,b'0'
2919,b'0'
3867,b'0'
5582,b'1'
4056,b'0'
1975,b'0'
2718,b'0'
2106,b'0'
1214,b'0'
5243,b'0'
1432,b'0'
1627,b'0'
1892,b'0'
1988,b'0'
513,b'0'
5639,b'1'
3972,b'0'
4225,b'0'
2317,b'0'
4341,b'0'
1792,b'0'
3254,b'0'
1254,b'0'
574,b'0'
2364,b'0'
4015,b'0'
1363,b'0'
2998,b'0'
2956,b'0'
5112,b'0'
303,b'0'
4777,b'0'
3926,b'0'
3184,b'0'
1127,b'0'
2923,b'0'
5501,b'1'
1841,b'0'
5511,b'1'
5715,b'1'
534,b'0'
1888,b'0'
5611,b'1'
2318,b'0'
1562,b'0'
1556,b'0'
2161,b'0'
4406,b'0'
4866,b'0'
3282,b'0'
1241,b'0'
1578,b'0'
222,b'0'
2330,b'0'
3578,b'0'
5513,b'1'
1568,b'0'
673,b'0'
521,b'0'
2361,b'0'
3425,b'0'
1287,b'0'
176,b'0'
1951,b'0'
3697,b'0'
4096,b'0'
2432,b'0'
3823,b'0'
886,b'0'
1560,b'0'
4401,b'0'
5118,b'0'
2305,b'0'
5380,b'0'
940,b'0'
5204,b'0'
5542,b'1'
516,b'0'
1679,b'0'
1134,b'0'
1108,b'0'
3338,b'0'
5195,b'0'
145,b'0'
1863,b'0'
2158,b'0'
4568,b'0'
1187,b'0'
564,b'0'
3682,b'0'
5009,b'0'
427,b'0'
1202,b'0'
848,b'0'
901,b'0'
3004,b'0'
2203,b'0'
366,b'0'
2362,b'0'
4331,b'0'
2799,b'0'
4284,b'0'
3982,b'0'
1738,b'0'
1526,b'0'
5219,b'0'
4016,b'0'
4253,b'0'
3750,b'0'
3486,b'0'
826,b'0'
4800,b'0'
1017,b'0'
3033,b'0'
3537,b'0'
1808,b'0'
4226,b'0'
136,b'0'
2185,b'0'
2934,b'0'
2905,b'0'
4217,b'0'
2411,b'0'
3211,b'0'
730,b'0'
3617,b'0'
4373,b'0'
3773,b'0'
3440,b'0'
2726,b'0'
4713,b'0'
5093,b'0'
4911,b'0'
652,b'0'
3775,b'0'
3832,b'0'
4036,b'0'
4011,b'0'
925,b'0'
67,b'0'
159,b'0'
1268,b'0'
121,b'0'
4623,b'0'
834,b'0'
807,b'0'
52,b'0'
5193,b'0'
4994,b'0'
3906,b'0'
4127,b'0'
3726,b'0'
2768,b'0'
811,b'0'
5898,b'1'
2925,b'0'
3495,b'0'
2738,b'0'
441,b'0'
228,b'0'
3841,b'0'
5047,b'0'
5130,b'0'
5480,b'0'
442,b'0'
3429,b'0'
1306,b'0'
160,b'0'
161,b'0'
2273,b'0'
4092,b'0'
3863,b'0'
1751,b'0'
2693,b'0'
990,b'0'
5733,b'1'
467,b'0'
2474,b'0'
4788,b'0'
728,b'0'
1172,b'0'
5583,b'1'
1800,b'0'
3160,b'0'
3889,b'0'
4278,b'0'
4726,b'0'
5742,b'1'
5302,b'0'
3016,b'0'
2131,b'0'
1069,b'0'
958,b'0'
4882,b'0'
5714,b'1'
2967,b'0'
5357,b'0'
2016,b'0'
4197,b'0'
5442,b'0'
565,b'0'
1466,b'0'
2414,b'0'
238,b'0'
2429,b'0'
2264,b'0'
1860,b'0'
2981,b'0'
5543,b'1'
3371,b'0'
4661,b'0'
1926,b'0'
4592,b'0'
72,b'0'
1290,b'0'
4030,b'0'
2757,b'0'
227,b'0'
4675,b'0'
288,b'0'
2499,b'0'
3203,b'0'
3166,b'0'
5473,b'0'
1518,b'0'
3348,b'0'
3340,b'0'
753,b'0'
2071,b'0'
2329,b'0'
14,b'0'
3815,b'0'
5555,b'1'
1567,b'0'
5752,b'1'
3755,b'0'
1889,b'0'
5031,b'0'
772,b'0'
2860,b'0'
1185,b'0'
4184,b'0'
5063,b'0'
4445,b'0'
4648,b'0'
5477,b'0'
3202,b'0'
2180,b'0'
4397,b'0'
3646,b'0'
2660,b'0'
3079,b'0'
4372,b'0'
2608,b'0'
2707,b'0'
3459,b'0'
5394,b'0'
2630,b'0'
3604,b'0'
3432,b'0'
208,b'0'
4812,b'0'
270,b'0'
3934,b'0'
5719,b'1'
3355,b'0'
3977,b'0'
5580,b'1'
4038,b'0'
1946,b'0'
138,b'0'
1628,b'0'
2786,b'0'
3534,b'0'
2769,b'0'
666,b'0'
2255,b'0'
2898,b'0'
5350,b'0'
2879,b'0'
4312,b'0'
1413,b'0'
88,b'0'
2994,b'0'
2968,b'0'
3048,b'0'
497,b'0'
5885,b'1'
546,b'0'
1558,b'0'
5831,b'1'
3547,b'0'
1507,b'0'
3734,b'0'
5333,b'0'
4995,b'0'
5821,b'1'
4916,b'0'
3648,b'0'
5192,b'0'
5823,b'1'
251,b'0'
15,b'0'
2493,b'0'
3846,b'0'
2098,b'0'
291,b'0'
2982,b'0'
286,b'0'
5711,b'1'
3735,b'0'
4748,b'0'
3105,b'0'
2645,b'0'
4927,b'0'
5531,b'1'
35,b'0'
4231,b'0'
2403,b'0'
4830,b'0'
2265,b'0'
241,b'0'
2864,b'0'
994,b'0'
5812,b'1'
4042,b'0'
613,b'0'
4367,b'0'
1435,b'0'
1767,b'0'
1282,b'0'
5579,b'1'
2739,b'0'
5247,b'0'
1905,b'0'
4754,b'0'
774,b'0'
4040,b'0'
4351,b'0'
4950,b'0'
5769,b'1'
5474,b'0'
3146,b'0'
166,b'0'
5209,b'0'
249,b'0'
5610,b'1'
5696,b'1'
1686,b'0'
3971,b'0'
2876,b'0'
2722,b'0'
3491,b'0'
610,b'0'
110,b'0'
2865,b'0'
4731,b'0'
1463,b'0'
1495,b'0'
3032,b'0'
375,b'0'
3530,b'0'
4073,b'0'
4637,b'0'
2758,b'0'
1894,b'0'
741,b'0'
4902,b'0'
4130,b'0'
215,b'0'
4242,b'0'
5595,b'1'
3902,b'0'
2210,b'0'
4336,b'0'
4769,b'0'
1677,b'0'
7,b'0'
4632,b'0'
2692,b'0'
5738,b'1'
3638,b'0'
4014,b'0'
154,b'0'
4966,b'0'
4569,b'0'
4152,b'0'
2187,b'0'
914,b'0'
2283,b'0'
3452,b'0'
556,b'0'
3674,b'0'
74,b'0'
3979,b'0'
3055,b'0'
1365,b'0'
3467,b'0'
4795,b'0'
3068,b'0'
1450,b'0'
4180,b'0'
1514,b'0'
866,b'0'
4504,b'0'
1047,b'0'
3423,b'0'
4287,b'0'
684,b'0'
5796,b'1'
2454,b'0'
4214,b'0'
82,b'0'
2563,b'0'
5718,b'1'
4292,b'0'
3848,b'0'
5675,b'1'
2987,b'0'
109,b'0'
3569,b'0'
4219,b'0'
5834,b'1'
3133,b'0'
1299,b'0'
1831,b'0'
5396,b'0'
4570,b'0'
2490,b'0'
1528,b'0'
4983,b'0'
5284,b'0'
1471,b'0'
1948,b'0'
4590,b'0'
5415,b'0'
478,b'0'
1050,b'0'
1629,b'0'
4912,b'0'
2250,b'0'
5824,b'1'
4970,b'0'
5809,b'1'
3132,b'0'
264,b'0'
646,b'0'
3401,b'0'
2022,b'0'
1718,b'0'
1758,b'0'
4281,b'0'
4473,b'0'
418,b'0'
4997,b'0'
2546,b'0'
4364,b'0'
3533,b'0'
5661,b'1'
1968,b'0'
3393,b'0'
3159,b'0'
2509,b'0'
3012,b'0'
971,b'0'
5408,b'0'
1488,b'0'
911,b'0'
1661,b'0'
4745,b'0'
5144,b'0'
5382,b'0'
5175,b'0'
4496,b'0'
340,b'0'
1544,b'0'
1084,b'0'
3508,b'0'
1625,b'0'
2177,b'0'
3791,b'0'
13,b'0'
2772,b'0'
3167,b'0'
3260,b'0'
3850,b'0'
3780,b'0'
1504,b'0'
527,b'0'
390,b'0'
3026,b'0'
3598,b'0'
4628,b'0'
2721,b'0'
3705,b'0'
2704,b'0'
3492,b'0'
5593,b'1'
2085,b'0'
446,b'0'
424,b'0'
5387,b'0'
757,b'0'
3389,b'0'
2390,b'0'
280,b'0'
3037,b'0'
1493,b'0'
2222,b'0'
1167,b'0'
2811,b'0'
4315,b'0'
4806,b'0'
2690,b'0'
621,b'0'
4471,b'0'
4374,b'0'
2515,b'0'
369,b'0'
2183,b'0'
5451,b'0'
2004,b'0'
4709,b'0'
4802,b'0'
5231,b'0'
2881,b'0'
5152,b'0'
2882,b'0'
54,b'0'
1645,b'0'
2791,b'0'
4204,b'0'
929,b'0'
2568,b'0'
4822,b'0'
895,b'0'
4163,b'0'
3187,b'0'
1351,b'0'
2508,b'0'
2018,b'0'
3611,b'0'
2230,b'0'
4169,b'0'
1262,b'0'
77,b'0'
601,b'0'
3526,b'0'
4669,b'0'
3516,b'0'
2027,b'0'
4696,b'0'
5757,b'1'
1442,b'0'
4584,b'0'
2353,b'0'
4827,b'0'
3279,b'0'
3227,b'0'
1798,b'0'
2656,b'0'
5137,b'0'
2356,b'0'
5428,b'0'
476,b'0'
2626,b'0'
18,b'0'
53,b'0'
5713,b'1'
3792,b'0'
4050,b'0'
2484,b'0'
296,b'0'
1361,b'0'
1919,b'0'
3660,b'0'
5141,b'0'
2460,b'0'
5281,b'0'
2814,b'0'
3540,b'0'
1377,b'0'
1955,b'0'
3864,b'0'
2553,b'0'
2663,b'0'
659,b'0'
5371,b'0'
2963,b'0'
3944,b'0'
1931,b'0'
4181,b'0'
1164,b'0'
4631,b'0'
300,b'0'
5036,b'0'
2244,b'0'
1804,b'0'
4659,b'0'
3271,b'0'
4597,b'0'
3420,b'0'
674,b'0'
2314,b'0'
4136,b'0'
2346,b'0'
789,b'0'
2328,b'0'
1830,b'0'
2108,b'0'
4375,b'0'
3968,b'0'
4295,b'0'
3392,b'0'
4421,b'0'
2024,b'0'
5148,b'0'
1048,b'0'
847,b'0'
3099,b'0'
1374,b'0'
2286,b'0'
2642,b'0'
420,b'0'
3869,b'0'
5013,b'0'
1498,b'0'
4738,b'0'
1938,b'0'
2343,b'0'
2231,b'0'
5518,b'1'
2316,b'0'
2857,b'0'
1990,b'0'
1984,b'0'
4313,b'0'
3148,b'0'
4205,b'0'
5106,b'0'
1840,b'0'
2482,b'0'
3983,b'0'
4289,b'0'
3675,b'0'
1920,b'0'
47,b'0'
3470,b'0'
4712,b'0'
1540,b'0'
4903,b'0'
2439,b'0'
5111,b'0'
3665,b'0'
315,b'0'
1264,b'0'
113,b'0'
5838,b'1'
501,b'0'
212,b'0'
2954,b'0'
2816,b'0'
2759,b'0'
2590,b'0'
1487,b'0'
252,b'0'
2527,b'0'
2226,b'0'
1850,b'0'
381,b'0'
615,b'0'
3890,b'0'
4307,b'0'
389,b'0'
5502,b'1'
2895,b'0'
4665,b'0'
4510,b'0'
1587,b'0'
5599,b'1'
4825,b'0'
2765,b'0'
3878,b'0'
3746,b'0'
4870,b'0'
125,b'0'
4817,b'0'
4223,b'0'
805,b'0'
1701,b'0'
2838,b'0'
3328,b'0'
3010,b'0'
2036,b'0'
2307,b'0'
537,b'0'
5419,b'0'
4076,b'0'
2263,b'0'
4193,b'0'
4643,b'0'
2633,b'0'
3369,b'0'
282,b'0'
5847,b'1'
2657,b'0'
3234,b'0'
1753,b'0'
5068,b'0'
1130,b'0'
4434,b'0'
3138,b'0'
4412,b'0'
818,b'0'
1455,b'0'
4417,b'0'
1651,b'0'
5708,b'1'
2238,b'0'
5750,b'1'
2366,b'0'
104,b'0'
2202,b'0'
3615,b'0'
2006,b'0'
541,b'0'
2760,b'0'
3122,b'0'
578,b'0'
2369,b'0'
5272,b'0'
635,b'0'
981,b'0'
4939,b'0'
5574,b'1'
1462,b'0'
942,b'0'
4865,b'0'
881,b'0'
1472,b'0'
3281,b'0'
5054,b'0'
4744,b'0'
4095,b'0'
386,b'0'
5125,b'0'
5341,b'0'
3359,b'0'
3754,b'0'
3413,b'0'
4202,b'0'
2675,b'0'
4077,b'0'
5269,b'0'
709,b'0'
367,b'0'
3072,b'0'
2926,b'0'
3696,b'0'
1688,b'0'
5659,b'1'
4177,b'0'
4986,b'0'
1511,b'0'
1787,b'0'
2031,b'0'
4116,b'0'
3054,b'0'
4413,b'0'
4170,b'0'
2851,b'0'
1646,b'0'
5832,b'1'
3760,b'0'
4650,b'0'
5217,b'0'
432,b'0'
961,b'0'
3396,b'0'
3161,b'0'
4474,b'0'
1118,b'0'
888,b'0'
1561,b'0'
631,b'0'
2053,b'0'
1072,b'0'
2583,b'0'
5565,b'1'
5407,b'0'
207,b'0'
1170,b'0'
1606,b'0'
3854,b'0'
436,b'0'
2271,b'0'
317,b'0'
3478,b'0'
3649,b'0'
4965,b'0'
4539,b'0'
1825,b'0'
500,b'0'
1574,b'0'
4674,b'0'
150,b'0'
1046,b'0'
1394,b'0'
3362,b'0'
2394,b'0'
2855,b'0'
1353,b'0'
94,b'0'
1114,b'0'
2154,b'0'
5636,b'1'
2048,b'0'
2969,b'0'
1330,b'0'
2498,b'0'
2790,b'0'
2367,b'0'
742,b'0'
4790,b'0'
474,b'0'
5133,b'0'
1929,b'0'
4552,b'0'
1763,b'0'
458,b'0'
5091,b'0'
2577,b'0'
265,b'0'
1025,b'0'
3262,b'0'
3436,b'0'
4978,b'0'
2468,b'0'
5690,b'1'
2632,b'0'
586,b'0'
3858,b'0'
827,b'0'
5064,b'0'
852,b'0'
5539,b'1'
4929,b'0'
1274,b'0'
642,b'0'
2013,b'0'
2500,b'0'
4082,b'0'
3751,b'0'
5787,b'1'
2220,b'0'
3603,b'0'
1102,b'0'
4433,b'0'
5080,b'0'
5729,b'1'
1508,b'0'
3564,b'0'
5777,b'1'
403,b'0'
1107,b'0'
3984,b'0'
2909,b'0'
1385,b'0'
5101,b'0'
1043,b'0'
3687,b'0'
2014,b'0'
193,b'0'
5438,b'0'
2609,b'0'
609,b'0'
1605,b'0'
3342,b'0'
3631,b'0'
5701,b'1'
2572,b'0'
885,b'0'
3001,b'0'
3306,b'0'
5233,b'0'
4676,b'0'
1986,b'0'
5795,b'1'
4403,b'0'
1813,b'0'
3047,b'0'
1995,b'0'
2174,b'0'
1158,b'0'
2028,b'0'
1485,b'0'
5420,b'0'
306,b'0'
295,b'0'
1272,b'0'
4389,b'0'
4383,b'0'
4119,b'0'
968,b'0'
5043,b'0'
2805,b'0'
3624,b'0'
4668,b'0'
656,b'0'
1982,b'0'
4861,b'0'
2430,b'0'
851,b'0'
3196,b'0'
5418,b'0'
4850,b'0'
4405,b'0'
5048,b'0'
31,b'0'
2534,b'0'
736,b'0'
5510,b'1'
2232,b'0'
3633,b'0'
2529,b'0'
1954,b'0'
4581,b'0'
1586,b'0'
3286,b'0'
1570,b'0'
4779,b'0'
3036,b'0'
3244,b'0'
